ID,CreatedAt,UpdatedAt,Duration
08bb6dcffa91fc542203d95379a6e7fee77daa00f623dc2ab8090b8adc217210,2023-06-11T00:02:38.123361Z,2023-06-11T00:02:38.211616Z,88.255ms
1de2e5ac284c11997ffb0cce66c1e3107fb078224a826845d5d1ac06fdd1cbab,2023-06-11T00:02:38.840816Z,2023-06-11T00:02:38.986454Z,145.638ms
06d9fa6e1167018e074497ffc192928ec0199675f8909f3aacfdaed224b3519d,2023-06-11T00:02:37.996742Z,2023-06-11T00:02:38.188173Z,191.431ms
23982ccec78754f6cf1126456516ad9c5a4bbcad2137f620c1dac5dde63767c4,2023-06-11T00:02:38.280841Z,2023-06-11T00:02:38.402005Z,121.164ms
14cb6c2707d8c28d1f7c1e4a880ece05b3d3f398918a355d5f274f1be9e5b230,2023-06-11T00:02:38.363588Z,2023-06-11T00:02:38.576253Z,212.665ms
10fbbe98bc3eeee26851349132e1508a244e9039cf2f5a39befe6a23ae5ef0f5,2023-06-11T00:02:38.00698Z,2023-06-11T00:02:38.230037Z,223.057ms
4299b1c5efe90808c7829d558a97e7127b112085ded555bd05e66c6770019896,2023-06-11T00:02:38.540463Z,2023-06-11T00:02:38.931272Z,390.809ms
0d74891da7e98fd5f3c89c88d0793deba1f03746f869e6ba0ba38d925943ac88,2023-06-11T00:02:38.625846Z,2023-06-11T00:02:38.833005Z,207.159ms
21802bce62fcc1b0e420cf73065f7825ef8fff000711ad9c8047fae429a2c330,2023-06-11T00:02:38.381519Z,2023-06-11T00:02:38.573537Z,192.018ms
2a1970ed7620b49e36c385e111c9f070eff03c3348c66914f477b94f63b3f9c6,2023-06-11T00:02:37.971704Z,2023-06-11T00:02:38.262357Z,290.653ms
2012ceb3ae60528020cafd6b68cab975d715ad2f80c2ef272bef3adaf67356ae,2023-06-11T00:02:38.140109Z,2023-06-11T00:02:38.219359Z,79.25ms
36ff12b66411689cb36e75304b4381a9328788b3301a56520c75eabee1b2ace0,2023-06-11T00:02:38.401809Z,2023-06-11T00:02:38.669234Z,267.425ms
3152da29e615d8d72e12f20391ae0fc8b739bfbe9bcb785864980d7b6fc1d3b4,2023-06-11T00:02:38.642845Z,2023-06-11T00:02:39.222937Z,580.092ms
1d32f422ee07f6fe02f899bbbd6cd84d69bb24ede6c486c448d1bdb6a9631912,2023-06-11T00:02:38.92564Z,2023-06-11T00:02:39.120685Z,195.045ms
741f39d7ea400f32efbe9fcc3fc10f869f6ce16d958b357a54e1262a7bb9bfe7,2023-06-11T00:02:38.30086Z,2023-06-11T00:02:38.437515Z,136.655ms
18ff2053b4ff881f6df7e1eebe6c7c595904bd18b07d5673d58910f9f4113cdb,2023-06-11T00:02:38.463781Z,2023-06-11T00:02:38.770656Z,306.875ms
24731ed4e8f6e6a809d2d3bea955a992440ce734c7e54e8830c85b95d2150fed,2023-06-11T00:02:38.240708Z,2023-06-11T00:02:38.387Z,146.292ms
5500f26f8f23fbcfe09bf78be3fa6217d452cde65304e04e0dc633c0ee0a1843,2023-06-11T00:02:38.32051Z,2023-06-11T00:02:38.458715Z,138.205ms
